country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0.0
Albania,89,132,54,4.9
Algeria,25,0,14,0.7
Australia,261,72,212,10.4
Austria,279,75,191,9.7
Belize,263,114,8,6.8
Benin,34,4,13,1.1
Bhutan,23,0,0,0.4
Bolivia,167,41,8,3.8
Bosnia-Herzegovina,76,173,8,4.6
Burundi,88,0,0,6.3
Cote d'Ivoire,37,1,7,4.0
Cabo Verde,144,56,16,4.0
Cambodia,57,65,1,2.2

Colombia,159,76,3,4.2
Comoros,1,3,1,0.1
Congo,76,1,9,1.7
Cook Islands,0,254,74,5.9
Costa Rica,149,87,11,4.4
Croatia,230,87,254,10.2

Czech Republic,361,170,134,11.8
North Korea,0,0,0,0.0
DR Congo,32,3,1,2.3
Denmark,224,81,278,10.4
Djibouti,15,44,3,1.1
Dominica,52,286,26,6.6
Dominican Republic,193,147,9,6.2
Ecuador,162,74,3,4.2

Fiji,77,35,1,2.0
Finland,263,133,97,10.0
France,127,151,370,11.8
Gabon,347,98,59,8.9
Gambia,8,0,1,2.4

Ghana,31,3,10,1.8
Greece,133,112,218,8.3
Grenada,199,438,28,11.9
Guatemala,53,69,2,2.2
Guinea,9,0,2,0.2
Guinea-Bissau,28,31,21,2.5

Honduras,69,98,2,3.0
Hungary,234,215,185,11.3
Iceland,233,61,78,6.6
India,9,114,0,2.2

Kyrgyzstan,31,97,6,2.4
Laos,62,0,123,6.2

Lebanon,20,55,31,1.9
Lesotho,82,29,0,2.8
Liberia,19,152,2,3.1
Libya,0,0,0,0.0
Lithuania,343,244,56,12.9

Mauritania,0,0,0,0.0
Mauritius,98,31,18,2.6
Mexico,238,68,5,5.5
Monaco,0,0,0,0.0
Mongolia,77,189,8,4.9
Montenegro,31,114,128,4.9

Niger,3,2,1,0.1
Nigeria,42,5,2,9.1
Niue,188,200,7,7.0
Norway,169,71,129,6.7
Oman,22,16,1,0.7

Poland,343,215,56,10.9

Moldova,109,226,18,6.3
Romania,297,122,167,10.4
Russian Federation,247,326,73,11.5
Rwanda,43,2,0,6.8

Seychelles,157,25,51,4.1
Sierra Leone,25,3,2,6.7
Singapore,60,12,11,1.5
Slovakia,196,293,116,11.4
Sudan,8,13,0,1.7
Suriname,128,178,7,5.6
Swaziland,90,2,2,4.7

Tonga,36,21,5,1.1
Trinidad & Tobago,197,156,7,6.4
Turkey,51,22,7,1.4

Zambia,32,19,4,2.5
Zimbabwe,64,18,4,4.7
